Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Saint-Nazaire;87481705;44600;a;862167;1077709;627823;784778;958231;1197788;851047;1063809;926785;1158481;882557;1103196;903619;1129524
Les Arcs - Draguignan;87755447;83460;a;785981;903427;535660;615701;819195;941604;744501;855748;871500;1001725;803328;923366;795535;914408
Saint-Nom-la-Bretèche Forêt de Marly;87382481;78620;b;786156;786156;855984;855984;1338668;1338668;1361743;1361743;1390132;1390132;1389478;1389478;1426316;1426316
Les Ardoines;87492108;94400;b;1871348;1871348;1011006;1011006;2591321;2591321;2586453;2586453;2578806;2578806;2525837;2525837;2462788;2462788
Saint-Pé-de-Bigorre;87671362;65270;c;104;104;97;97;303;303;345;345;1608;1608;1484;1484;2371;2371
Les Essarts-le-Roi;87393280;78690;b;567670;567670;369081;369081;789251;789251;820436;820436;856897;856897;879511;879511;896622;896622
Saint-Pol-sur-Ternoise;87342337;62130;b;105085;131356;84539;105673;172970;216213;165659;207074;193538;241922;213538;266923;229216;286520
Les Eyzies-de-Tayac-Sireuil;87595736;24620;c;12349;12349;10521;10521;20871;20871;17280;17280;21489;21489;22584;22584;21824;21824
Saint-Quentin;87296004;2100;b;976291;1220364;774203;967754;1092523;1365654;1082819;1353523;1165507;1456884;1131841;1414802;1159281;1449102
Les Laumes Alésia;87713115;21150;b;146922;183653;136224;170280;167251;209064;159684;199605;172023;215028;156184;195231;166751;208438
Saint-Remy-en-l'Eau;87313288;60130;c;96;96;89;89;170;170;92;92;311;311;206;206;632;632
Les Moutiers-en-Retz;87481259;44580;c;19497;19497;15453;15453;20176;20176;14809;14809;13334;13334;11809;11809;7070;7070
Saint-Romain-de-Popey;87721456;69490;c;13970;13970;11245;11245;20021;20021;17105;17105;20927;20927;21300;21300;23578;23578
Les Noues;87276238;95190;b;1272141;1272141;773295;773295;1461270;1461270;1539584;1539584;1618916;1618916;1674500;1674500;1724995;1724995
Saint-Saviol;87575365;86400;c;29328;29328;23456;23456;33056;33056;28325;28325;34869;34869;36575;36575;36325;36325
Les Pavillons-sous-Bois;87113852;93320;b;1601698;1601698;2488926;2488926;1701182;1701182;1683059;1683059;1673494;1673494;1629471;1629471;1580346;1580346
Saint-Sébastien;87592493;23160;c;2989;2989;2321;2321;4365;4365;4003;4003;4868;4868;4985;4985;5263;5263
Les Praz de Chamonix;87746826;74400;c;5194;5194;4392;4392;5418;5418;6842;6842;6363;6363;5002;5002;5497;5497
Saint-Sulpice - Auteuil;87313684;60430;b;106254;132817;92438;115547;131544;164430;134502;168128;149678;187097;152116;190145;142779;178473
